Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP (constant LCU),NY.GDP.MKTP.KN,United States,USA,13717700000000.00,13848800000000.00,14084200000000.00,14478000000000.00,15035100000000.00,15558800000000.00,15992100000000.00,16312500000000.00,16331100000000.00,15910300000000.00,16339100000000.00,16594700000000.00,16974600000000.00,17334100000000.00,17771500000000.00,18295000000000.00,18627900000000.00,19085700000000.00,19651900000000.00,20159600000000.00,19723600000000.00,20917900000000.00,21443400000000.00,22062600000000.00,..
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,10251000000000.00,10581900000000.00,10929100000000.00,11456500000000.00,12217200000000.00,13039200000000.00,13815600000000.00,14474200000000.00,14769900000000.00,14478100000000.00,15049000000000.00,15599700000000.00,16254000000000.00,16880700000000.00,17608100000000.00,18295000000000.00,18804900000000.00,19612100000000.00,20656500000000.00,21540000000000.00,21354100000000.00,23681200000000.00,26006900000000.00,27720700000000.00,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,United States,USA,48616.25,48597.42,48967.37,49905.52,51348.35,52649.57,53596.32,54152.83,53703.96,51863.62,52821.40,53259.26,54080.23,54844.24,55817.56,57040.21,57658.67,58703.14,60127.21,61400.55,59493.15,62996.29,64342.12,65875.18,..
GDP per capita (current LCU),NY.GDP.PCAP.CN,United States,USA,36329.97,37133.62,37997.74,39490.30,41724.64,44123.40,46301.99,48050.23,48570.06,47194.95,48650.66,50065.98,51784.41,53409.75,55304.32,57040.21,58206.61,60322.26,63201.05,65604.68,64411.37,71318.31,78035.18,82769.41,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,United States,USA,2.93,-0.04,0.76,1.92,2.89,2.53,1.80,1.04,-0.83,-3.43,1.85,0.83,1.54,1.41,1.77,2.19,1.08,1.81,2.43,2.12,-3.11,5.89,2.14,2.38,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,United States,USA,36329.97,37133.62,37997.74,39490.30,41724.64,44123.40,46301.99,48050.23,48570.06,47194.95,48650.66,50065.98,51784.41,53409.75,55304.32,57040.21,58206.61,60322.26,63201.05,65604.68,64411.37,71318.31,78035.18,82769.41,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
